"","T01","T02","T03","T31","T32","T33","T34","T5A5","T5A6","KMR19","KMR46"
"ENSMUSG00000100799.2",28,43,71,68,72,108,65,122,132,0,0
"ENSMUSG00000098304.1",26,29,91,44,51,95,49,123,174,0,2
"ENSMUSG00000099417.1",14,19,27,8,16,27,13,31,41,0,0
"ENSMUSG00000101683.6",9,5,21,13,5,10,9,17,26,0,0
"ENSMUSG00000097321.5",875,874,954,288,289,302,235,532,560,1,2
"ENSMUSG00000056821.13",15,48,56,52,46,48,37,93,109,5,3
"ENSMUSG00000038782.6",22,45,39,40,48,45,33,84,71,4,1
"ENSMUSG00000089798.9",184,248,217,61,61,86,91,146,162,1,0
"ENSMUSG00000101334.1",46,77,128,91,80,123,73,129,209,0,0
"ENSMUSG00000078635.3",315,515,453,184,259,302,204,471,337,0,0
"ENSMUSG00000033053.3",428,565,791,291,725,617,627,1286,1252,0,0
"ENSMUSG00000086823.7",9,19,56,31,31,30,27,34,61,0,0
"ENSMUSG00000100759.6",9,7,31,9,20,18,12,15,32,0,0
"ENSMUSG00000100557.1",3,5,6,1,1,3,8,9,4,0,0
"ENSMUSG00000052075.6",16,27,84,54,41,55,32,87,103,0,0
"ENSMUSG00000031452.15",72,52,124,291,145,199,191,319,461,0,0
"ENSMUSG00000044916.10",373,419,471,139,195,199,142,278,199,3,4
"ENSMUSG00000099968.6",135,241,477,320,296,369,197,437,606,0,0
"ENSMUSG00000071103.9",792,694,556,142,174,134,132,343,247,23,12
"ENSMUSG00000101189.1",7,6,15,7,11,15,2,13,13,0,0
"ENSMUSG00000086788.2",5,7,27,18,19,21,14,24,36,0,0
"ENSMUSG00000098144.7",33,63,125,85,76,88,51,101,135,0,0
"ENSMUSG00000061633.3",1,4,1,3,3,8,3,8,14,0,0
"ENSMUSG00000085333.1",1,3,12,13,14,3,5,6,6,0,0
"ENSMUSG00000099759.1",14,16,17,0,16,23,14,40,48,3,0
"ENSMUSG00000091071.2",0,2,1,0,1,2,0,3,3,3,0
"ENSMUSG00000086459.2",41,79,56,52,89,68,76,331,137,0,1
"ENSMUSG00000087148.1",4,7,14,32,22,34,15,63,55,0,0
"ENSMUSG00000099869.6",164,222,508,332,335,321,229,452,683,0,0
"ENSMUSG00000031847.8",26,46,93,78,89,92,49,120,109,11,23
"ENSMUSG00000052794.13",1199,1219,899,436,534,559,504,808,715,291,441
"ENSMUSG00000099508.1",18,58,87,56,63,62,45,73,100,0,0
"ENSMUSG00000097424.2",24,13,34,21,37,39,9,36,50,0,2
"ENSMUSG00000100969.6",344,590,488,1359,10579,1763,1592,9803,8876,0,0
"ENSMUSG00000100198.1",14,16,35,23,27,28,19,62,39,0,0
"ENSMUSG00000092239.1",23,40,75,63,67,82,48,106,134,0,0
"ENSMUSG00000032894.13",38,121,204,122,165,173,70,165,211,0,0
"ENSMUSG00000047046.8",10,6,18,13,10,12,13,21,18,0,0
"ENSMUSG00000099863.1",1,4,13,3,8,14,8,10,21,0,0
"ENSMUSG00000099353.6",45,54,110,61,56,85,69,140,191,0,0
"ENSMUSG00000100315.6",3,12,11,12,9,11,5,14,25,0,0
"ENSMUSG00000097302.1",2,1,10,4,6,2,0,10,9,0,0
"ENSMUSG00000024532.13",68,84,146,114,117,223,101,157,228,0,0
"ENSMUSG00000097962.7",15,11,42,40,29,35,39,49,74,0,0
"ENSMUSG00000055833.14",244,204,259,207,274,251,167,338,338,1,6
"ENSMUSG00000074619.5",18,43,26,3,3,7,2,4,5,0,0
"ENSMUSG00000040163.14",190,181,271,288,237,186,237,573,313,0,0
"ENSMUSG00000100294.6",67,78,142,78,85,78,64,153,204,0,0
"ENSMUSG00000029867.5",1,2,9,10,4,6,1,19,12,0,0
"ENSMUSG00000097893.8",286,371,405,390,586,495,400,792,779,6,15
"ENSMUSG00000095956.2",247,252,366,237,160,171,203,344,334,0,0
"ENSMUSG00000099995.1",38,62,92,64,52,48,48,105,168,0,0
"ENSMUSG00000086185.1",0,1,0,0,2,0,0,0,4,0,0
"ENSMUSG00000085542.1",0,5,5,3,2,2,3,3,5,0,0
"ENSMUSG00000005983.15",1128,1106,1137,480,679,674,561,710,649,41,33
"ENSMUSG00000097540.1",14,16,14,16,19,17,6,13,28,0,0
"ENSMUSG00000027327.16",324,333,481,314,414,393,365,542,432,1118,1399
"ENSMUSG00000092369.1",20,19,52,27,51,47,18,69,66,0,0
"ENSMUSG00000097933.1",1,9,4,11,6,3,14,37,22,0,0
"ENSMUSG00000097515.2",0,2,21,17,2,4,4,14,12,2,2
"ENSMUSG00000101568.1",2,3,19,16,21,19,11,17,27,0,0
"ENSMUSG00000019945.9",228,358,788,470,416,491,292,730,916,6,6
"ENSMUSG00000100282.1",11,33,44,41,36,55,31,51,80,0,0
"ENSMUSG00000054822.5",4,9,42,28,28,62,25,61,39,1,0
"ENSMUSG00000087010.1",35,43,72,47,66,53,30,79,130,0,0
"ENSMUSG00000100857.2",328,513,975,699,826,824,516,1139,1457,0,0
"ENSMUSG00000078593.2",0,2,1,1,1,6,0,7,3,0,0
"ENSMUSG00000087044.1",5,7,18,19,10,11,3,10,19,0,0
"ENSMUSG00000086391.1",68,75,119,64,71,68,46,105,196,0,5
"ENSMUSG00000099911.1",66,106,205,165,158,148,98,218,299,0,0
"ENSMUSG00000100297.1",1,1,2,2,2,2,1,7,7,0,0
"ENSMUSG00000078492.3",136,176,269,243,236,233,204,400,391,0,0
"ENSMUSG00000085561.1",44,112,157,145,130,101,84,177,214,0,0
"ENSMUSG00000085437.8",728,1087,950,1128,1479,1155,1271,2181,1353,0,0
"ENSMUSG00000085549.7",143,188,457,288,286,327,185,462,709,0,0
"ENSMUSG00000099349.6",16,18,42,51,40,89,33,40,72,0,0
"ENSMUSG00000094103.1",0,0,0,0,1,0,0,2,0,0,0
"ENSMUSG00000087347.1",168,137,130,82,85,97,80,112,113,0,3
"ENSMUSG00000101762.1",8,6,23,19,9,5,10,12,26,0,0
"ENSMUSG00000100147.2",35,51,79,52,61,79,55,126,128,0,0
"ENSMUSG00000085637.2",438,505,514,128,250,242,171,188,154,0,0
"ENSMUSG00000043773.4",119,114,96,80,116,99,80,155,149,33,0
"ENSMUSG00000085077.1",32,39,68,53,49,65,28,80,128,0,0
"ENSMUSG00000079271.4",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072613.12",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101553.1",15,34,34,18,26,39,26,44,78,0,0
"ENSMUSG00000011052.6",19,22,37,45,39,41,31,80,79,0,0
"ENSMUSG00000043859.4",0,2,5,4,0,12,8,7,23,0,0
"ENSMUSG00000086951.1",7,3,8,16,5,9,4,18,15,0,0
"ENSMUSG00000101912.1",0,5,4,5,5,5,4,14,3,0,0
"ENSMUSG00000099681.1",189,195,191,111,124,130,120,187,130,23,59
